TransactionID,CustomerID,Date,Amount,Category,Location,Source,IsFraud,Hour
TX00000,CUST202,2024-04-03,144.61,Groceries,New York,Online,0,9
TX00001,CUST448,2024-05-29,86.76,Entertainment,Unknown/Tax Haven,Online,1,1
TX00002,CUST370,2024-02-02,100.05,Entertainment,Unknown/Tax Haven,ATM,1,10
TX00003,CUST206,2024-06-06,44.99,Restaurant,Marseille,POS,0,21
TX00004,CUST171,2024-05-05,92.4,Entertainment,London,ATM,0,18
TX00005,CUST288,2024-06-08,23.08,Groceries,Marseille,POS,0,8
TX00006,CUST120,2024-06-18,30.41,Health,Lyon,POS,0,8
TX00007,CUST202,2024-05-01,24.06,Groceries,Paris,POS,0,5
TX00008,CUST221,2024-05-17,36.5,Groceries,Tokyo,POS,0,9
TX00009,CUST314,2024-04-24,21.81,Entertainment,Marseille,POS,0,21
TX00010,CUST430,2024-06-12,168.0,Restaurant,Paris,Online,0,23
TX00011,CUST187,2024-06-10,23.76,Travel,Berlin,POS,0,7
TX00012,CUST472,2024-01-28,10.16,Travel,London,POS,0,14
TX00013,CUST199,2024-01-11,42.41,Travel,London,Online,0,5
TX00014,CUST459,2024-06-15,7.94,Groceries,Berlin,POS,0,6
TX00015,CUST251,2024-02-16,10.86,Entertainment,Berlin,POS,0,19
TX00016,CUST230,2024-05-06,17.38,Travel,Berlin,POS,0,16
TX00017,CUST249,2024-05-26,36.21,Electronics,Lyon,POS,0,3
TX00018,CUST408,2024-04-27,33.39,Electronics,Berlin,Online,0,7
TX00019,CUST357,2024-05-22,85.39,Electronics,Lyon,POS,0,12
TX00020,CUST443,2024-05-05,72.25,Health,Marseille,Online,0,23
TX00021,CUST393,2024-06-04,32.78,Entertainment,New York,ATM,0,13
TX00022,CUST485,2024-05-31,25.3,Groceries,Berlin,ATM,0,17
TX00023,CUST291,2024-03-12,24.02,Groceries,Berlin,ATM,0,22
TX00024,CUST376,2024-04-16,79.36,Entertainment,London,Online,0,16
TX00025,CUST260,2024-05-16,7.67,Restaurant,Paris,Online,0,17
TX00026,CUST413,2024-06-23,5.65,Restaurant,New York,ATM,0,13
TX00027,CUST121,2024-02-02,84.37,Health,London,POS,0,23
TX00028,CUST352,2024-01-19,37.42,Entertainment,Marseille,ATM,0,10
TX00029,CUST335,2024-03-14,12.01,Restaurant,Berlin,POS,0,9
TX00030,CUST444,2024-06-16,18.43,Health,London,POS,0,12
TX00031,CUST148,2024-06-23,139.78,Travel,Lyon,Online,0,19
TX00032,CUST158,2024-06-05,103.13,Travel,Paris,POS,0,15
TX00033,CUST269,2024-06-26,66.86,Health,Paris,POS,0,13
TX00034,CUST287,2024-04-07,37.91,Entertainment,Lyon,Online,0,2
TX00035,CUST370,2024-05-20,41.73,Travel,Berlin,Online,0,17
TX00036,CUST289,2024-05-08,189.94,Entertainment,Berlin,POS,0,5
TX00037,CUST274,2024-06-10,173.73,Restaurant,New York,POS,0,19
TX00038,CUST150,2024-04-02,17.12,Travel,Lyon,Online,0,2
TX00039,CUST463,2024-06-24,88.33,Restaurant,Berlin,Online,0,18
TX00040,CUST154,2024-02-17,15.99,Entertainment,Paris,Online,0,2
TX00041,CUST343,2024-06-25,17.01,Entertainment,Berlin,Online,0,11
TX00042,CUST419,2024-03-04,61.36,Electronics,Marseille,ATM,0,7
TX00043,CUST230,2024-03-01,30.96,Health,Berlin,POS,0,4
TX00044,CUST406,2024-06-05,139.08,Groceries,New York,POS,0,16
TX00045,CUST234,2024-02-08,9.66,Health,Tokyo,POS,0,9
TX00046,CUST120,2024-05-07,40.82,Entertainment,London,Online,0,20
TX00047,CUST428,2024-03-28,130.37,Entertainment,Tokyo,POS,0,16
TX00048,CUST266,2024-01-26,122.23,Health,Marseille,ATM,0,8
TX00049,CUST373,2024-01-17,13.51,Entertainment,Tokyo,POS,0,12
TX00050,CUST487,2024-03-11,27.84,Restaurant,Berlin,POS,0,9
TX00051,CUST188,2024-01-13,53.26,Travel,New York,POS,0,7
TX00052,CUST415,2024-03-09,13.68,Entertainment,Paris,ATM,0,6
TX00053,CUST113,2024-01-26,177.14,Health,Paris,Online,0,1
TX00054,CUST341,2024-02-18,128.11,Health,Marseille,Online,0,1
TX00055,CUST364,2024-01-07,14.13,Health,Tokyo,ATM,0,3
TX00056,CUST445,2024-02-27,11.46,Electronics,New York,ATM,0,8
TX00057,CUST152,2024-02-18,9.46,Restaurant,London,POS,0,13
TX00058,CUST485,2024-04-12,125.09,Restaurant,Berlin,Online,0,23
TX00059,CUST439,2024-02-22,15.76,Electronics,Tokyo,Online,0,10
TX00060,CUST191,2024-03-02,31.92,Restaurant,Tokyo,POS,0,20
TX00061,CUST466,2024-01-17,34.79,Electronics,London,ATM,0,6
TX00062,CUST363,2024-06-19,50.69,Restaurant,Lyon,Online,0,18
TX00063,CUST134,2024-01-25,8.72,Electronics,Berlin,POS,0,3
TX00064,CUST305,2024-05-10,17.86,Electronics,Marseille,ATM,0,1
TX00065,CUST180,2024-01-29,139.04,Restaurant,Berlin,Online,0,22
TX00066,CUST149,2024-04-26,124.52,Electronics,New York,POS,0,21
TX00067,CUST459,2024-06-08,81.0,Restaurant,Marseille,Online,0,20
TX00068,CUST487,2024-01-26,5.98,Electronics,London,POS,0,22
TX00069,CUST101,2024-05-03,24.8,Health,New York,ATM,0,18
TX00070,CUST489,2024-05-23,54.44,Groceries,Paris,Online,0,20
TX00071,CUST153,2024-01-25,21.09,Restaurant,Paris,POS,0,17
TX00072,CUST205,2024-02-23,125.17,Electronics,Berlin,ATM,0,20
TX00073,CUST359,2024-06-04,55.24,Health,New York,ATM,0,6
TX00074,CUST409,2024-03-13,8.73,Groceries,Marseille,POS,0,10
TX00075,CUST290,2024-04-29,124.85,Electronics,Marseille,POS,0,9
TX00076,CUST317,2024-02-25,163.23,Groceries,Paris,Online,0,10
TX00077,CUST143,2024-03-05,9.04,Restaurant,Paris,Online,0,22
TX00078,CUST261,2024-04-02,43.0,Groceries,London,POS,0,8
TX00079,CUST301,2024-03-26,23.07,Travel,New York,Online,0,2
TX00080,CUST369,2024-03-20,29.95,Entertainment,Marseille,POS,0,23
TX00081,CUST450,2024-06-17,14.9,Travel,London,POS,0,4
TX00082,CUST403,2024-04-17,48.15,Restaurant,Marseille,POS,0,22
TX00083,CUST370,2024-06-27,919.5493484773086,Restaurant,Unknown/Tax Haven,POS,1,0
TX00084,CUST314,2024-04-27,224.82497833764396,Groceries,New York,Online,1,0
TX00085,CUST351,2024-06-05,9.33,Health,Lyon,POS,0,19
TX00086,CUST289,2024-03-23,53.38,Electronics,New York,POS,0,4
TX00087,CUST395,2024-05-26,25.79,Entertainment,Tokyo,Online,0,18
TX00088,CUST312,2024-06-17,101.87,Electronics,Lyon,Online,0,5
TX00089,CUST307,2024-06-21,33.52,Health,Berlin,POS,0,2
TX00090,CUST336,2024-01-15,15.71,Restaurant,Berlin,Online,0,20
TX00091,CUST437,2024-05-10,15.6,Entertainment,London,POS,0,12
TX00092,CUST466,2024-05-18,78.22,Travel,Lyon,ATM,0,16
